id;fecha_echo;sexo;edad;estado_civil;modalidad_id;barrio_id;bien_id;color_id;lugar_id;grupo_bien_id;sede_receptora_id;arma_medio_id
DEFAULT;2017-01-04T00:00:00.000-05:00;Mujer;36;Casado(a);1;174;48;11;7;3;15;1
DEFAULT;2017-01-04T16:00:00.000-05:00;Mujer;61;Divorciado(a);7;235;70;10;2;3;16;6
DEFAULT;2017-01-04T22:00:00.000-05:00;Hombre;24;Soltero(a);10;147;77;7;2;2;2;1
DEFAULT;2017-01-04T22:00:00.000-05:00;Hombre;24;Soltero(a);13;214;49;1;9;1;9;4
DEFAULT;2017-01-04T19:00:00.000-05:00;Hombre;38;Uni? marital de hecho;4;149;91;5;8;4;3;8
DEFAULT;2017-01-06T23:35:00.000-05:00;Mujer;21;Soltero(a);6;36;121;10;4;5;10;5
DEFAULT;2017-01-07T01:00:00.000-05:00;Hombre;42;Casado(a);2;75;39;8;11;2;8;1
DEFAULT;2017-01-07T01:00:00.000-05:00;Hombre;42;Casado(a);4;111;60;6;12;1;6;1
DEFAULT;2017-01-07T01:00:00.000-05:00;Hombre;42;Casado(a);9;198;96;4;8;1;13;8
DEFAULT;2017-01-07T19:00:00.000-05:00;Hombre;26;Soltero(a);11;198;91;4;9;2;7;7
DEFAULT;2017-01-07T01:00:00.000-05:00;Hombre;42;Casado(a);10;162;55;13;6;3;5;8
DEFAULT;2017-01-07T01:00:00.000-05:00;Hombre;42;Casado(a);14;174;59;7;5;4;13;3
DEFAULT;2017-01-07T00:00:00.000-05:00;Mujer;46;Soltero(a);13;16;47;9;6;1;8;3
DEFAULT;2017-01-07T10:00:00.000-05:00;Hombre;38;Soltero(a);11;162;4;6;11;3;16;5
DEFAULT;2017-01-07T01:00:00.000-05:00;Hombre;42;Casado(a);9;212;67;11;10;3;7;7
DEFAULT;2017-01-07T11:00:00.000-05:00;Mujer;41;Uni? marital de hecho;3;122;31;13;12;2;15;2
DEFAULT;2017-01-07T01:00:00.000-05:00;Hombre;42;Casado(a);1;138;85;13;8;3;15;3
DEFAULT;2017-01-07T00:00:00.000-05:00;Mujer;46;Soltero(a);4;194;33;5;7;3;15;7
DEFAULT;2017-01-07T01:00:00.000-05:00;Hombre;42;Casado(a);12;188;65;5;10;4;8;6
DEFAULT;2017-01-07T03:00:00.000-05:00;Mujer;23;Soltero(a);1;167;8;6;3;4;10;8
DEFAULT;2017-01-07T01:00:00.000-05:00;Hombre;42;Casado(a);2;67;20;3;8;3;10;8
DEFAULT;2017-01-07T19:00:00.000-05:00;Hombre;26;Soltero(a);5;91;17;12;11;5;11;5
DEFAULT;2017-01-07T11:00:00.000-05:00;Mujer;41;Uni? marital de hecho;8;130;42;8;4;2;8;8
DEFAULT;2017-01-07T01:00:00.000-05:00;Hombre;42;Casado(a);10;38;25;8;6;1;11;6
DEFAULT;2017-01-07T21:30:00.000-05:00;Hombre;65;Soltero(a);13;83;102;11;3;1;10;3
DEFAULT;2017-01-07T03:00:00.000-05:00;Mujer;23;Soltero(a);6;219;50;12;1;3;3;1
DEFAULT;2017-01-08T13:30:00.000-05:00;Mujer;37;Divorciado(a);5;216;38;3;10;2;8;6
DEFAULT;2017-01-08T15:00:00.000-05:00;Mujer;47;Uni? marital de hecho;7;59;73;8;3;1;16;2
DEFAULT;2017-01-08T13:30:00.000-05:00;Mujer;37;Divorciado(a);12;107;96;4;1;4;5;1
DEFAULT;2017-01-08T13:30:00.000-05:00;Mujer;37;Divorciado(a);11;38;19;10;4;3;12;5
DEFAULT;2017-01-08T10:18:00.000-05:00;Hombre;32;Soltero(a);11;66;69;6;3;1;16;5
DEFAULT;2017-01-08T13:30:00.000-05:00;Mujer;37;Divorciado(a);10;38;10;2;4;3;4;5
DEFAULT;2017-01-08T13:30:00.000-05:00;Mujer;37;Divorciado(a);8;205;34;4;1;5;15;3
DEFAULT;2017-01-08T21:30:00.000-05:00;Hombre;35;Soltero(a);9;144;77;5;12;4;6;3
DEFAULT;2017-01-08T13:30:00.000-05:00;Mujer;37;Divorciado(a);2;231;9;1;4;2;14;4
DEFAULT;2017-01-08T13:30:00.000-05:00;Mujer;37;Divorciado(a);3;2;110;11;4;1;6;2
DEFAULT;2017-01-08T20:00:00.000-05:00;Hombre;47;Casado(a);5;117;98;10;10;1;8;1
DEFAULT;2017-01-08T10:18:00.000-05:00;Hombre;32;Soltero(a);10;203;90;12;8;1;12;3
DEFAULT;2017-01-08T10:10:00.000-05:00;Hombre;47;Soltero(a);4;59;49;13;2;4;10;3
DEFAULT;2017-01-08T20:00:00.000-05:00;Hombre;47;Casado(a);1;202;93;5;6;5;7;3
DEFAULT;2017-01-08T10:18:00.000-05:00;Hombre;32;Soltero(a);1;128;62;3;2;5;6;3
DEFAULT;2017-01-08T20:00:00.000-05:00;Hombre;47;Casado(a);10;230;12;7;10;2;1;6
DEFAULT;2017-01-08T21:30:00.000-05:00;Hombre;35;Soltero(a);2;61;4;10;7;5;4;5
DEFAULT;2017-01-08T02:10:00.000-05:00;Mujer;47;Soltero(a);3;115;117;6;4;5;13;3
DEFAULT;2017-01-08T10:10:00.000-05:00;Hombre;47;Soltero(a);5;68;11;7;8;3;11;4
DEFAULT;2017-01-09T16:00:00.000-05:00;Mujer;60;Casado(a);11;148;112;7;9;2;1;6
DEFAULT;2017-01-09T13:15:00.000-05:00;Mujer;53;Viudo(a);3;163;62;8;5;3;11;3
DEFAULT;2017-01-09T13:15:00.000-05:00;Mujer;53;Viudo(a);1;64;102;12;11;1;10;4
DEFAULT;2017-01-09T13:15:00.000-05:00;Mujer;53;Viudo(a);7;228;38;7;8;1;2;1
DEFAULT;2017-01-09T16:00:00.000-05:00;Mujer;60;Casado(a);10;33;76;3;2;1;11;2
DEFAULT;2017-01-09T20:00:00.000-05:00;Mujer;28;Soltero(a);5;67;7;7;4;1;16;5
DEFAULT;2017-01-09T20:00:00.000-05:00;Mujer;28;Soltero(a);11;133;77;11;6;4;12;5
DEFAULT;2017-01-10T15:00:00.000-05:00;Mujer;26;Uni? marital de hecho;7;152;1;2;3;4;3;6
DEFAULT;2017-01-10T15:00:00.000-05:00;Mujer;26;Uni? marital de hecho;4;132;27;4;7;2;2;4
DEFAULT;2017-01-11T08:00:00.000-05:00;Hombre;24;Casado(a);12;245;6;13;6;5;15;4
DEFAULT;2017-01-11T08:00:00.000-05:00;Hombre;24;Casado(a);11;110;96;3;2;3;2;5
DEFAULT;2017-01-11T02:00:00.000-05:00;Mujer;28;Soltero(a);6;108;106;12;2;2;1;2
DEFAULT;2017-01-11T02:00:00.000-05:00;Mujer;28;Soltero(a);6;215;26;12;8;3;6;3
DEFAULT;2017-01-11T00:00:00.000-05:00;Hombre;39;Soltero(a);4;175;6;7;6;2;15;5
DEFAULT;2017-01-11T20:15:00.000-05:00;Hombre;23;Soltero(a);6;2;25;13;8;2;5;8
DEFAULT;2017-01-11T00:00:00.000-05:00;Hombre;39;Soltero(a);3;78;83;5;11;4;8;3
DEFAULT;2017-01-11T16:00:00.000-05:00;Mujer;37;Soltero(a);13;142;74;5;1;3;16;6
DEFAULT;2017-01-12T12:00:00.000-05:00;Mujer;43;Divorciado(a);14;70;54;6;9;1;2;2
DEFAULT;2017-01-12T19:58:00.000-05:00;Hombre;36;Uni? marital de hecho;14;51;27;4;6;4;4;6
DEFAULT;2017-01-12T19:58:00.000-05:00;Hombre;36;Uni? marital de hecho;10;215;24;13;6;3;4;5
DEFAULT;2017-01-12T12:00:00.000-05:00;Mujer;43;Divorciado(a);3;69;4;7;2;1;7;2
DEFAULT;2017-01-12T12:00:00.000-05:00;Mujer;43;Divorciado(a);7;72;52;5;8;5;16;6
DEFAULT;2017-01-12T12:00:00.000-05:00;Mujer;43;Divorciado(a);3;73;90;9;7;2;1;8
DEFAULT;2017-01-12T12:00:00.000-05:00;Mujer;43;Divorciado(a);11;89;40;6;5;5;14;2
DEFAULT;2017-01-12T21:30:00.000-05:00;Hombre;64;Divorciado(a);5;20;54;10;3;3;6;8
DEFAULT;2017-01-13T21:30:00.000-05:00;Mujer;63;Divorciado(a);11;200;74;10;11;4;6;6
DEFAULT;2017-01-13T21:30:00.000-05:00;Mujer;63;Divorciado(a);6;84;23;6;10;1;2;6
DEFAULT;2017-01-13T08:00:00.000-05:00;Mujer;21;Soltero(a);14;44;62;2;3;3;3;6
DEFAULT;2017-01-13T12:00:00.000-05:00;Hombre;28;Uni? marital de hecho;10;148;17;4;12;3;5;1
DEFAULT;2017-01-13T12:00:00.000-05:00;Hombre;28;Uni? marital de hecho;14;213;12;1;12;4;11;5
DEFAULT;2017-01-13T00:00:00.000-05:00;Hombre;62;Soltero(a);13;145;44;1;6;4;1;1
DEFAULT;2017-01-14T12:00:00.000-05:00;Mujer;57;Uni? marital de hecho;3;18;77;4;2;2;8;4
DEFAULT;2017-01-14T15:00:00.000-05:00;Hombre;26;Soltero(a);8;62;6;10;9;1;14;5
DEFAULT;2017-01-14T00:00:00.000-05:00;Hombre;71;Uni? marital de hecho;3;205;17;9;8;4;16;8
DEFAULT;2017-01-14T00:00:00.000-05:00;Hombre;71;Uni? marital de hecho;14;33;8;13;10;5;3;8
DEFAULT;2017-01-14T02:00:00.000-05:00;Hombre;45;Casado(a);5;122;31;13;1;2;6;3
DEFAULT;2017-01-14T15:00:00.000-05:00;Hombre;26;Soltero(a);10;93;43;6;3;4;4;7
DEFAULT;2017-01-14T12:00:00.000-05:00;Mujer;57;Uni? marital de hecho;13;214;121;5;12;4;1;2
DEFAULT;2017-01-14T12:00:00.000-05:00;Mujer;57;Uni? marital de hecho;4;23;109;9;2;2;1;5
DEFAULT;2017-01-14T12:00:00.000-05:00;Mujer;57;Uni? marital de hecho;8;189;34;6;12;2;7;7
DEFAULT;2017-01-14T00:00:00.000-05:00;Mujer;42;Uni? marital de hecho;13;26;68;3;12;3;5;7
DEFAULT;2017-01-14T00:00:00.000-05:00;Hombre;71;Uni? marital de hecho;8;138;2;5;2;2;11;8
DEFAULT;2017-01-14T12:00:00.000-05:00;Mujer;57;Uni? marital de hecho;13;5;75;1;2;4;2;6
DEFAULT;2017-01-14T00:00:00.000-05:00;Mujer;42;Uni? marital de hecho;3;15;59;7;4;4;12;1
DEFAULT;2017-01-14T20:00:00.000-05:00;Mujer;35;Casado(a);5;52;105;4;9;2;14;1
DEFAULT;2017-01-15T13:30:00.000-05:00;Hombre;22;Uni? marital de hecho;8;146;62;10;12;1;15;5
DEFAULT;2017-01-15T13:30:00.000-05:00;Hombre;22;Uni? marital de hecho;14;55;83;2;6;5;6;2
DEFAULT;2017-01-15T22:00:00.000-05:00;Mujer;43;Divorciado(a);5;220;56;9;3;2;8;1
DEFAULT;2017-01-15T22:00:00.000-05:00;Mujer;43;Divorciado(a);14;196;39;8;6;5;4;2
DEFAULT;2017-01-16T12:00:00.000-05:00;Mujer;41;Soltero(a);8;3;32;9;5;3;12;1
DEFAULT;2017-01-16T08:00:00.000-05:00;Mujer;42;Casado(a);13;108;68;3;2;1;3;3
DEFAULT;2017-01-16T00:00:00.000-05:00;Mujer;53;Uni? marital de hecho;1;191;107;5;6;2;16;8
DEFAULT;2017-01-16T11:30:00.000-05:00;Mujer;59;Uni? marital de hecho;12;179;8;10;11;2;4;6
DEFAULT;2017-01-16T00:00:00.000-05:00;Mujer;53;Uni? marital de hecho;12;170;59;11;8;2;10;5
DEFAULT;2017-01-16T00:00:00.000-05:00;Mujer;53;Uni? marital de hecho;8;221;117;3;12;3;15;2
DEFAULT;2017-01-16T00:00:00.000-05:00;Mujer;53;Uni? marital de hecho;14;43;78;3;4;4;11;1
DEFAULT;2017-01-16T11:30:00.000-05:00;Mujer;59;Uni? marital de hecho;14;199;102;5;7;4;2;7
DEFAULT;2017-01-16T16:00:00.000-05:00;Mujer;53;Soltero(a);7;144;79;8;3;5;7;1
DEFAULT;2017-01-16T16:00:00.000-05:00;Mujer;53;Soltero(a);8;39;83;8;1;3;11;4
DEFAULT;2017-01-16T16:00:00.000-05:00;Mujer;53;Soltero(a);7;190;119;10;7;5;16;2
DEFAULT;2017-01-17T03:20:00.000-05:00;Mujer;21;Soltero(a);10;25;24;7;10;5;16;6
DEFAULT;2017-01-17T15:00:00.000-05:00;Mujer;34;Soltero(a);8;158;10;5;3;1;11;2
DEFAULT;2017-01-18T16:00:00.000-05:00;Hombre;46;Soltero(a);13;131;101;11;5;1;9;6
DEFAULT;2017-01-18T06:00:00.000-05:00;Mujer;38;Soltero(a);10;39;4;5;7;4;9;6
DEFAULT;2017-01-18T16:30:00.000-05:00;Mujer;51;Divorciado(a);8;24;58;11;7;5;16;7
DEFAULT;2017-01-18T16:30:00.000-05:00;Mujer;51;Divorciado(a);7;211;83;8;12;5;7;6
DEFAULT;2017-01-18T11:00:00.000-05:00;Mujer;51;Soltero(a);8;221;101;5;10;4;11;8
DEFAULT;2017-01-18T11:00:00.000-05:00;Mujer;51;Soltero(a);12;112;38;6;3;4;1;5
DEFAULT;2017-01-18T06:00:00.000-05:00;Mujer;38;Soltero(a);13;199;44;13;4;4;9;7
DEFAULT;2017-01-18T16:00:00.000-05:00;Hombre;46;Soltero(a);12;63;44;7;2;3;15;7
DEFAULT;2017-01-18T04:00:00.000-05:00;Hombre;65;Casado(a);5;220;25;3;3;2;11;8
DEFAULT;2017-01-18T01:00:00.000-05:00;Mujer;37;Uni? marital de hecho;6;76;94;2;12;4;13;4
DEFAULT;2017-01-19T18:30:00.000-05:00;Hombre;50;Soltero(a);8;22;34;10;1;4;16;7
DEFAULT;2017-01-19T16:00:00.000-05:00;Mujer;39;Casado(a);12;116;93;5;4;2;2;6
DEFAULT;2017-01-19T18:30:00.000-05:00;Hombre;50;Soltero(a);8;185;35;13;1;5;2;3
DEFAULT;2017-01-19T17:00:00.000-05:00;Hombre;25;Soltero(a);5;75;120;10;5;3;3;2
DEFAULT;2017-01-19T18:30:00.000-05:00;Hombre;50;Soltero(a);9;70;7;13;10;2;12;5
DEFAULT;2017-01-19T16:00:00.000-05:00;Mujer;39;Casado(a);7;196;42;10;8;1;9;1
DEFAULT;2017-01-19T17:00:00.000-05:00;Hombre;25;Soltero(a);10;100;12;4;1;3;15;7
DEFAULT;2017-01-19T16:00:00.000-05:00;Hombre;53;Casado(a);5;189;114;2;10;1;3;4
DEFAULT;2017-01-19T06:30:00.000-05:00;Hombre;42;Soltero(a);11;40;73;2;5;4;15;5
DEFAULT;2017-01-19T05:30:00.000-05:00;Mujer;49;Soltero(a);5;20;54;3;6;2;10;3
DEFAULT;2017-01-19T20:40:00.000-05:00;Hombre;46;Divorciado(a);13;151;35;7;2;5;10;6
DEFAULT;2017-01-19T16:00:00.000-05:00;Hombre;53;Casado(a);12;126;107;6;9;3;6;4
DEFAULT;2017-01-19T06:30:00.000-05:00;Hombre;42;Soltero(a);14;217;106;4;8;1;7;3
DEFAULT;2017-01-19T20:40:00.000-05:00;Hombre;46;Divorciado(a);3;218;93;9;3;5;3;4
DEFAULT;2017-01-20T03:07:00.000-05:00;Hombre;39;Soltero(a);12;152;109;9;11;1;1;2
DEFAULT;2017-01-20T18:00:00.000-05:00;Mujer;37;Soltero(a);3;223;24;5;7;3;13;3
DEFAULT;2017-01-20T16:00:00.000-05:00;Hombre;31;Soltero(a);2;72;11;5;2;1;8;7
DEFAULT;2017-01-20T18:00:00.000-05:00;Mujer;37;Soltero(a);9;175;17;3;4;3;3;5
DEFAULT;2017-01-20T16:00:00.000-05:00;Hombre;31;Soltero(a);11;85;31;2;8;3;7;3
DEFAULT;2017-01-21T16:30:00.000-05:00;Mujer;52;Uni? marital de hecho;1;215;12;12;8;3;9;3
DEFAULT;2017-01-21T00:30:00.000-05:00;Hombre;29;Soltero(a);10;135;24;13;8;4;4;6
DEFAULT;2017-01-21T00:30:00.000-05:00;Hombre;29;Soltero(a);4;169;67;11;4;1;10;7
DEFAULT;2017-01-21T00:30:00.000-05:00;Hombre;29;Soltero(a);2;173;114;6;12;1;10;5
DEFAULT;2003-01-01T02:30:00.000-05:00;Hombre;21;Soltero(a);8;181;57;8;1;5;13;6
DEFAULT;2003-01-01T09:00:00.000-05:00;Hombre;35;Uni? marital de hecho;3;52;51;10;8;3;1;3
DEFAULT;2003-01-01T09:00:00.000-05:00;Hombre;35;Uni? marital de hecho;11;32;37;9;9;2;3;1
DEFAULT;2003-01-01T09:00:00.000-05:00;Hombre;35;Uni? marital de hecho;8;50;7;8;2;4;2;3
DEFAULT;2003-01-01T09:00:00.000-05:00;Hombre;35;Sin dato;2;68;67;10;9;4;12;2
DEFAULT;2003-01-01T09:00:00.000-05:00;Hombre;35;Sin dato;5;158;27;3;5;1;7;3
DEFAULT;2003-01-01T09:00:00.000-05:00;Hombre;35;Sin dato;4;220;101;9;5;3;11;1
DEFAULT;2003-01-01T02:30:00.000-05:00;Hombre;21;Sin dato;1;3;97;13;1;5;7;4
DEFAULT;2003-01-03T20:00:00.000-05:00;Mujer;48;Divorciado(a);11;188;105;11;10;4;6;5
DEFAULT;2003-01-03T00:01:00.000-05:00;Mujer;42;Soltero(a);6;120;114;9;2;2;15;8
DEFAULT;2003-01-03T20:00:00.000-05:00;Mujer;48;Sin dato;10;180;15;11;12;1;15;2
DEFAULT;2003-01-03T00:01:00.000-05:00;Mujer;42;Sin dato;5;186;12;5;2;2;14;5
DEFAULT;2003-01-04T09:30:00.000-05:00;Mujer;34;Uni? marital de hecho;8;173;101;1;2;2;13;5
DEFAULT;2003-01-04T09:30:00.000-05:00;Mujer;34;Sin dato;14;209;118;13;1;5;9;6
DEFAULT;2003-01-05T17:00:00.000-05:00;Hombre;39;Casado(a);13;19;61;3;4;3;16;5
DEFAULT;2003-01-05T17:00:00.000-05:00;Hombre;45;Casado(a);10;64;50;3;3;2;12;3
DEFAULT;2003-01-05T17:00:00.000-05:00;Hombre;39;Sin dato;14;54;50;4;3;2;2;4
DEFAULT;2003-01-05T17:00:00.000-05:00;Hombre;45;Sin dato;8;189;99;8;1;3;2;3
DEFAULT;2003-01-06T16:00:00.000-05:00;Mujer;28;Soltero(a);4;207;33;8;6;5;3;1
DEFAULT;2003-01-06T12:00:00.000-05:00;Hombre;43;Casado(a);5;126;115;8;4;4;9;2
DEFAULT;2003-01-06T15:30:00.000-05:00;Hombre;78;Casado(a);9;169;105;10;3;2;8;3
DEFAULT;2003-01-06T11:00:00.000-05:00;Hombre;53;Casado(a);7;138;33;2;1;2;6;4
DEFAULT;2003-01-06T15:30:00.000-05:00;Hombre;78;Sin dato;8;121;102;9;10;3;16;3
DEFAULT;2003-01-06T12:00:00.000-05:00;Hombre;43;Sin dato;11;222;30;13;4;3;11;6
DEFAULT;2003-01-06T11:00:00.000-05:00;Hombre;53;Sin dato;14;224;31;2;3;4;5;5
DEFAULT;2003-01-06T16:00:00.000-05:00;Mujer;28;Sin dato;13;43;116;11;4;4;15;4
DEFAULT;2003-01-07T04:50:00.000-05:00;Mujer;34;Casado(a);14;74;96;13;5;5;12;3
DEFAULT;2003-01-07T04:50:00.000-05:00;Mujer;34;Sin dato;6;244;49;7;8;4;9;8
DEFAULT;2003-01-09T20:35:00.000-05:00;Mujer;25;Soltero(a);1;52;49;13;11;5;7;7
DEFAULT;2003-01-09T20:35:00.000-05:00;Mujer;25;Soltero(a);13;93;45;2;6;3;13;4
DEFAULT;2003-01-09T20:35:00.000-05:00;Mujer;25;Sin dato;4;100;107;7;7;1;12;2
DEFAULT;2003-01-09T20:35:00.000-05:00;Mujer;25;Sin dato;13;203;113;11;2;3;10;5
DEFAULT;2003-01-11T02:00:00.000-05:00;Mujer;35;Casado(a);6;217;42;10;3;3;2;5
DEFAULT;2003-01-11T02:00:00.000-05:00;Mujer;35;Sin dato;8;4;40;5;12;5;6;8
DEFAULT;2003-01-12T23:30:00.000-05:00;Hombre;52;Casado(a);7;17;120;2;12;2;12;2
DEFAULT;2003-01-12T20:00:00.000-05:00;Hombre;60;Soltero(a);5;27;95;3;4;1;3;2
DEFAULT;2003-01-12T20:00:00.000-05:00;Hombre;60;Sin dato;7;191;73;5;9;1;5;6
DEFAULT;2003-01-12T23:30:00.000-05:00;Hombre;52;Sin dato;2;59;36;5;5;1;15;8
DEFAULT;2003-01-13T15:15:00.000-05:00;Hombre;32;Soltero(a);10;86;14;7;8;3;12;1
DEFAULT;2003-01-13T15:15:00.000-05:00;Hombre;32;Sin dato;7;169;4;6;8;3;14;7
DEFAULT;2003-01-14T18:30:00.000-05:00;Mujer;49;Casado(a);7;121;24;2;4;5;14;8
DEFAULT;2003-01-14T18:30:00.000-05:00;Mujer;49;Sin dato;4;237;97;13;3;3;1;4
DEFAULT;2003-01-17T03:00:00.000-05:00;Mujer;45;Casado(a);6;226;48;11;3;4;5;3
DEFAULT;2003-01-17T04:50:00.000-05:00;Hombre;26;Soltero(a);5;110;5;8;12;3;10;5
DEFAULT;2003-01-17T01:45:00.000-05:00;Mujer;20;Soltero(a);12;115;3;10;4;4;6;1
DEFAULT;2003-01-17T01:45:00.000-05:00;Mujer;20;Soltero(a);11;202;47;5;8;3;7;4
DEFAULT;2003-01-17T04:50:00.000-05:00;Hombre;26;Sin dato;5;207;114;11;9;1;1;6
DEFAULT;2003-01-17T03:00:00.000-05:00;Mujer;45;Sin dato;7;174;19;2;3;1;3;2
DEFAULT;2003-01-17T01:45:00.000-05:00;Mujer;20;Sin dato;6;219;8;11;6;1;11;5
DEFAULT;2003-01-17T01:45:00.000-05:00;Mujer;20;Sin dato;8;88;75;1;12;2;2;4
DEFAULT;2003-01-18T21:10:00.000-05:00;Hombre;29;Casado(a);4;135;6;7;4;4;14;3
DEFAULT;2003-01-18T21:10:00.000-05:00;Hombre;29;Sin dato;14;196;88;4;12;2;2;3
DEFAULT;2003-01-19T11:05:00.000-05:00;Hombre;29;Casado(a);11;191;95;9;12;1;4;8
DEFAULT;2003-01-19T18:00:00.000-05:00;Mujer;28;Casado(a);12;108;85;3;5;1;15;8
DEFAULT;2003-01-19T00:30:00.000-05:00;Hombre;22;Soltero(a);13;173;23;6;3;2;12;7
DEFAULT;2003-01-19T06:45:00.000-05:00;Hombre;31;Soltero(a);2;236;78;2;1;4;3;8
DEFAULT;2003-01-19T14:00:00.000-05:00;Hombre;35;Casado(a);9;169;120;13;5;2;5;7
DEFAULT;2003-01-19T18:00:00.000-05:00;Mujer;28;Sin dato;3;186;11;1;5;4;11;4
DEFAULT;2003-01-19T11:05:00.000-05:00;Hombre;29;Sin dato;9;191;4;5;1;4;15;5
DEFAULT;2003-01-19T00:30:00.000-05:00;Hombre;22;Sin dato;3;213;77;3;6;1;2;4
DEFAULT;2003-01-19T06:45:00.000-05:00;Hombre;31;Sin dato;8;169;94;13;7;5;15;3
DEFAULT;2003-01-19T14:00:00.000-05:00;Hombre;35;Sin dato;9;180;76;7;3;2;15;3
DEFAULT;2003-01-22T14:00:00.000-05:00;Hombre;22;Casado(a);12;4;115;4;6;2;6;5
DEFAULT;2003-01-22T16:00:00.000-05:00;Hombre;37;Soltero(a);14;214;5;9;5;2;14;7
DEFAULT;2003-01-22T19:15:00.000-05:00;Mujer;23;Soltero(a);9;76;70;11;1;3;5;7
DEFAULT;2003-01-22T16:00:00.000-05:00;Hombre;37;Sin dato;11;18;78;3;12;1;14;2
DEFAULT;2003-01-22T14:00:00.000-05:00;Hombre;22;Sin dato;1;86;19;3;11;3;11;1
DEFAULT;2003-01-22T19:15:00.000-05:00;Mujer;23;Sin dato;2;115;99;1;12;4;6;6
DEFAULT;2003-01-23T11:00:00.000-05:00;Hombre;43;Casado(a);10;56;91;6;6;3;16;7
DEFAULT;2003-01-23T09:00:00.000-05:00;Mujer;50;Casado(a);10;144;99;10;4;2;12;7
DEFAULT;2003-01-23T11:00:00.000-05:00;Hombre;43;Sin dato;3;170;31;13;1;1;4;4
DEFAULT;2003-01-23T09:00:00.000-05:00;Mujer;50;Sin dato;1;1;42;7;8;4;9;7
